,apartment_number,Rooms,total_area,house_number,residents_number,owner_name
51,94,1.0,35.28089402875877,11,6,Чернов Виссарион Феликсович
52,1,2.0,61.400054374659,17,1,Иванна Робертовна Яковлева
53,44,1.0,31.893483476039908,3,0,Валентина Архиповна Гуляева
54,1,1.0,42.41417613853096,14,1,Галина Натановна Яковлева
55,48,3.0,60.49673620327934,4,10,г-н Виноградов Селиверст Валерьянович
56,5,2.0,54.47743204165913,14,5,Галина Афанасьевна Рогова
57,23,2.0,56.21870163187176,3,0,Ильин Викентий Данилович
58,28,1.0,38.007936217693626,1,0,Власов Герман Теймуразович
59,11,2.0,57.32249447212715,5,1,Прасковья Мироновна Афанасьева
60,88,2.0,47.31752643089487,6,9,Демьян Устинович Фомин
61,1,2.0,65.02389875686265,10,1,Изот Федосеевич Пономарев
62,47,2.0,54.78732376431341,1,16,Абрамов Парфен Валентинович
63,6,1.0,42.50553193590355,6,0,Адам Даниилович Захаров
64,52,2.0,64.14115197487071,5,5,Артемьева Екатерина Михайловна
65,62,1.0,41.19418849786451,6,0,Громов Артемий Артёмович
66,31,2.0,57.95597269122313,17,1,Ермакова Жанна Константиновна
67,57,2.0,45.96488978915266,7,4,Устинов Мечислав Тимурович
68,77,1.0,42.67884386982604,14,16,Фомичева Лариса Григорьевна
69,27,2.0,64.92910276079539,15,0,Наталья Оскаровна Бирюкова
70,27,2.0,79.22704893716298,9,0,Котова Лукия Игоревна
71,74,2.0,84.68773160202026,12,2,Пономарева Евпраксия Эдуардовна
72,74,1.0,52.45758937232919,18,2,Евлампий Ефремович Тихонов
73,79,1.0,39.42966643301249,2,5,Мартынов Адам Феоктистович
74,6,2.0,63.18442201310369,17,0,Вишнякова Мария Наумовна
75,9,1.0,50.2991671506794,11,1,Степанова Юлия Эльдаровна
76,34,1.0,47.90932737998547,2,11,Цветкова Алина Ивановна
77,85,4.0,65.55983414534953,6,7,Людмила Яковлевна Исакова
78,156,1.0,39.24892718662953,13,19,Александрова Маргарита Святославовна
79,69,1.0,39.25255481200749,1,9,Эмилия Геннадиевна Юдина
80,108,2.0,49.88874002058505,9,4,Меркушева Анастасия Петровна
81,96,2.0,62.78380934113364,5,4,Ульяна Максимовна Васильева
82,169,2.0,58.43360726566507,3,0,Надежда Вениаминовна Лапина
83,18,2.0,61.71855284835026,10,5,Жанна Филипповна Емельянова
84,21,1.0,42.5012260708919,2,5,Морозов Виктор Владиленович
85,27,2.0,54.58323128280291,2,4,Мария Егоровна Пестова
86,148,3.0,127.48158341963554,16,10,Бобылев Пимен Богданович
87,94,2.0,47.14562641451781,11,9,Журавлева Нонна Робертовна
88,41,2.0,48.07704110377844,5,0,Наина Никифоровна Белякова
89,128,2.0,52.08218293973108,7,8,Полякова Нинель Георгиевна
90,10,2.0,50.29076173681866,12,11,Зимина Светлана Константиновна
91,144,2.0,49.03078774789541,2,7,Глафира Станиславовна Никитина
92,120,3.0,58.57037093462772,4,11,Воробьев Владлен Юлианович
93,39,1.0,34.19820977216433,7,2,Рябова Полина Артемовна
94,7,3.0,74.97105425768765,16,6,Лукьян Харлампьевич Гришин
95,34,2.0,61.33496777880346,26,11,Гришин Никон Игнатович
96,27,2.0,58.93727974313555,2,4,Комиссарова Фаина Вячеславовна
97,84,3.0,63.728236554474776,9,1,Синклитикия Михайловна Борисова
98,23,1.0,41.84569772836166,14,2,Миронов Исай Алексеевич
99,61,1.0,33.646711450929125,8,9,Носков Эраст Антипович
100,1,1.0,50.61776843485736,10,1,Савина Глафира Оскаровна
101,1,2.0,62.96990315347616,14,1,Осипова Эмилия Кузьминична
102,123,2.0,58.91191808519165,12,5,Силин Артем Егорович
103,23,2.0,48.76013224783535,3,0,Бобров Валентин Анисимович
104,9,2.0,62.34715418212179,6,4,Феофан Адрианович Костин
105,1,2.0,53.18796830353498,7,1,Петр Изотович Артемьев
106,57,3.0,64.0151002560132,10,4,Шашкова Виктория Владиславовна
107,159,3.0,61.80902159655469,2,8,Екатерина Леоновна Одинцова
108,27,2.0,62.22456919797416,8,0,Флорентин Венедиктович Самсонов
109,70,2.0,45.59291291275085,3,5,Евсеев Демьян Бориславович
110,39,1.0,35.683059286946204,12,2,Милен Евстигнеевич Лукин
111,94,2.0,39.900424683233375,12,6,Лыткин Остап Фадеевич
112,129,3.0,65.68346852974332,11,5,Симонова Татьяна Альбертовна
113,3,1.0,42.145274302242434,3,2,Евстафий Анисимович Сафонов
114,95,2.0,42.389567415418014,1,5,Самойлова Марина Григорьевна
115,27,2.0,60.44585456445121,13,0,Лукия Кузьминична Волкова
116,78,1.0,44.570412123654016,18,2,Твердислав Зиновьевич Матвеев
117,1,2.0,65.00927913436702,9,1,Лапина Пелагея Афанасьевна
118,18,3.0,76.23513674330522,9,5,Колесников Никанор Владленович
119,45,1.0,42.367288692851375,16,2,г-жа Дмитриева Глафира Георгиевна
120,15,4.0,98.6867031290387,10,0,г-жа Емельянова Александра Рубеновна
121,121,3.0,60.4381691785688,5,7,Нина Львовна Турова
122,49,1.0,43.44426635232809,18,5,Соколов Захар Гавриилович
123,25,3.0,85.95230644639722,4,11,Борисов Вадим Валерьянович
124,19,2.0,74.44137733392218,23,9,Владимир Фёдорович Романов
125,1,2.0,55.2332130691251,13,1,Жданов Сигизмунд Валерьянович
126,59,2.0,61.502134430937154,5,5,Медведев Филимон Бенедиктович
127,28,2.0,43.771829534570266,3,0,Ратмир Ермолаевич Никифоров
128,2,3.0,60.15940612151951,4,6,Смирнова Зоя Наумовна
129,6,1.0,65.10201679019049,10,0,Игнатий Гурьевич Фокин
130,96,1.0,35.99013769288014,1,4,Турова Антонина Кузьминична
131,27,3.0,89.6929642467968,13,0,Агата Робертовна Зайцева
132,108,3.0,110.20396948700356,19,5,Ксения Юрьевна Смирнова
133,127,2.0,45.923672661582266,3,6,Феликс Антонович Щукин
134,6,2.0,65.49667436641931,5,0,Силин Наум Измаилович
135,85,1.0,42.19894558704248,16,7,Евдокия Владимировна Семенова
136,27,2.0,92.40000684071424,2,0,Агафья Константиновна Петрова
137,56,1.0,40.812877553246935,10,6,Аристарх Ефстафьевич Третьяков
138,31,2.0,62.30129218800013,11,1,Амвросий Богданович Сафонов
139,1,2.0,63.672610618053405,11,1,Николай Якубович Авдеев
140,169,1.0,33.25798132827507,7,5,Корнил Егорович Панов
141,31,3.0,78.47198680838288,6,1,Влас Всеволодович Кузнецов
142,61,2.0,45.58698248918699,5,3,Павел Бенедиктович Шубин
143,74,1.0,50.1451762027309,8,2,Наталья Феликсовна Елисеева
144,109,1.0,40.11736379193481,5,1,Кулагин Мина Димитриевич
145,34,2.0,60.366625674269216,20,11,Архипов Зосима Авдеевич
146,62,2.0,71.3047632136293,13,0,Юлия Петровна Жукова
147,27,3.0,92.8855438693015,7,0,Ерофей Владленович Рогов
148,9,1.0,37.47019524242762,12,11,Поляков Андрон Трофимович
149,94,1.0,37.98575172539788,8,0,Нонна Игоревна Анисимова
150,46,2.0,69.80461247985367,13,1,Александра Яковлевна Суханова
151,17,1.0,40.09075455020088,6,4,Абрамов Мартьян Артурович
152,23,2.0,57.69961907981183,2,0,Леон Венедиктович Козлов
153,62,1.0,51.83147294769088,5,0,Азарий Борисович Анисимов
154,23,1.0,44.64789756749945,9,2,Кир Владиленович Веселов
155,62,1.0,47.577279537654775,6,0,Юлиан Александрович Емельянов
156,44,2.0,44.51140745026622,6,3,Кудряшов Варлаам Эдуардович
157,23,3.0,70.21457474548518,3,0,Евпраксия Аскольдовна Михеева
158,27,3.0,51.9910643544554,22,0,Трофимова Зоя Вадимовна
159,85,1.0,44.03852399189158,15,7,тов. Якушева Майя Егоровна
160,6,1.0,66.41984149373266,2,0,Федотов Филарет Васильевич
161,27,1.0,54.25519113954791,5,0,Полина Матвеевна Зайцева
162,119,2.0,45.22268973027529,6,5,г-н Мельников Симон Александрович
163,99,2.0,47.01806447731696,7,4,Гремислав Ильясович Русаков
164,96,2.0,57.63916715391909,3,4,Кузнецова Милица Александровна
165,41,2.0,54.4778683522394,7,16,Котов Давыд Антипович
166,57,2.0,56.384773305431374,4,4,Самойлова Нинель Робертовна
167,1,2.0,71.0055747817242,11,1,Александра Оскаровна Логинова
168,98,2.0,47.69890152322699,4,2,Агафья Эльдаровна Наумова
169,47,2.0,49.28520088966932,7,3,Зайцев Самуил Терентьевич
170,7,3.0,81.46790925974453,19,3,Синклитикия Константиновна Тимофеева
171,52,1.0,32.827650993401186,1,5,Евпраксия Вадимовна Горбунова
172,47,2.0,56.92211600924483,13,3,Трофимова Лариса Александровна
173,27,1.0,47.17718354022401,5,0,Самойлов Севастьян Аверьянович
174,6,2.0,67.17058663420276,11,0,Шашков Пахом Абрамович
175,27,3.0,82.51591138174317,5,0,Александр Анисимович Степанов
176,80,2.0,53.747253909003085,6,4,Ульяна Константиновна Белова
177,27,2.0,62.64038950680821,5,0,Аким Артурович Кононов
178,57,1.0,29.298167568168665,7,4,Богданов Федот Феодосьевич
179,86,1.0,36.805826133939824,10,7,Щукин Панкратий Артёмович
180,61,3.0,54.52682068461061,3,9,Одинцова Агафья Александровна
181,83,2.0,54.3866676791685,11,6,Антонина Георгиевна Потапова
182,52,2.0,64.22269387492523,16,5,Гурьев Мирослав Венедиктович
183,44,2.0,47.91700922770607,5,1,Гордеева Агата Олеговна
184,74,1.0,48.74366486619844,12,2,г-н Матвеев Герман Аксёнович
185,62,3.0,67.63260672812788,8,5,Ефимов Терентий Архипович
186,137,3.0,70.22360431225314,3,0,Гаврилова Светлана Кирилловна
187,41,2.0,42.58151161541346,7,0,Алевтина Рудольфовна Харитонова
188,91,1.0,41.07619268196986,14,0,Матвеев Юлиан Игнатович
189,94,2.0,47.80222779023652,5,0,Юлия Святославовна Крылова
190,39,1.0,33.68237635813288,10,2,Валерьян Глебович Гордеев
191,92,2.0,42.54009352292711,12,5,Артемьев Савелий Иларионович
192,118,3.0,92.26619160498691,4,7,Пестов Емельян Аксёнович
193,187,1.0,38.89234657283961,8,4,Ираида Харитоновна Волкова
194,62,2.0,67.6776032795015,11,0,Калашникова Алина Кузьминична
195,54,2.0,76.31285054725404,14,6,Крюкова Пелагея Яковлевна
196,7,3.0,91.90401514440288,6,9,Ия Михайловна Сафонова
197,36,1.0,38.755406718524576,2,0,Бобылева Екатерина Сергеевна
198,13,3.0,80.03033041968777,16,15,Абрамова Вера Харитоновна
199,86,2.0,59.96722996245699,10,7,Логинова Вера Леоновна
200,101,2.0,59.77754076157098,20,2,Лазарев Ипат Егорович
201,7,2.0,49.830081678565854,9,9,Акулина Олеговна Терентьева
202,106,2.0,62.68807707320569,8,3,Блинова Синклитикия Николаевна
203,62,3.0,88.49139704169184,11,0,Абрамов Гедеон Борисович
204,52,1.0,39.554283412487294,13,5,Модест Ефимович Трофимов
205,27,2.0,74.2140900115795,8,0,Синклитикия Владиславовна Баранова
206,6,3.0,82.98372191646696,13,0,Никодим Бенедиктович Беляков
207,161,3.0,81.74963962728911,5,3,Денисова Татьяна Станиславовна
208,6,2.0,56.57128955411287,14,0,Касьян Якубович Герасимов
209,27,1.0,43.37251864207703,17,4,Гурьев Силантий Александрович
210,28,1.0,45.18232856287953,4,0,Клавдия Петровна Панфилова
211,98,1.0,30.447688159505947,3,10,Наина Юрьевна Фомичева
212,88,2.0,5.49706140087997,24,9,Бронислав Бенедиктович Родионов
213,27,1.0,46.84899272224901,8,4,Александра Аскольдовна Галкина
214,22,2.0,45.578160725832994,3,0,Глафира Дмитриевна Юдина
215,1,2.0,64.22636086355539,12,1,Валентина Константиновна Волкова
216,19,3.0,65.77099138534508,6,6,Журавлев Фома Эдгарович
217,27,3.0,57.6436127469155,16,0,Селезнева Дарья Мироновна
218,63,1.0,51.45604231584102,12,6,Якуб Виленович Муравьев
219,85,1.0,28.53508416664782,4,7,Пахомова Людмила Руслановна
220,23,2.0,58.646817630486765,2,0,Абрамов Владимир Аверьянович
221,7,2.0,67.87154473778412,13,3,Марина Анатольевна Егорова
222,11,3.0,72.95694262051751,12,1,Наумов Харитон Валентинович
223,27,2.0,62.153993942075296,5,0,Галина Григорьевна Новикова
224,41,1.0,41.91904534806305,3,0,Юлий Эдгардович Крылов
225,23,1.0,46.355804257040106,3,0,Лора Викторовна Прохорова
226,45,1.0,40.3710769262108,21,2,Агафон Ааронович Муравьев
227,2,3.0,79.7222428770001,12,9,Галкин Доброслав Васильевич
228,9,3.0,79.8304393653747,5,4,Милица Владимировна Костина
229,23,1.0,43.76328916885652,3,2,Тимофеева Ангелина Ждановна
230,123,2.0,75.14501200314791,9,4,Семенов Лазарь Арсенович
231,6,3.0,82.35302308946324,13,0,Касьян Венедиктович Гурьев
232,167,3.0,82.02956195939946,4,3,Жукова Лариса Аскольдовна
233,27,2.0,75.3786829779113,3,0,Лебедев Сила Валерианович
234,27,3.0,81.86716565092506,12,1,Харитонов Георгий Ефимьевич
235,21,2.0,42.423079667928825,3,4,Шубин Тимофей Теймуразович
236,1,1.0,43.08441284195241,9,1,Селиверст Демьянович Андреев
237,52,2.0,65.38847515800288,13,5,Ширяев Трифон Васильевич
238,23,1.0,34.91328365645016,3,0,Октябрина Святославовна Гущина
239,1,1.0,39.05602087994309,17,1,Прокофий Игнатьевич Трофимов
240,99,2.0,47.00961051697733,11,4,Муравьев Нестор Андреевич
241,113,3.0,63.04444051929876,11,1,Любомир Валерьевич Семенов
242,52,2.0,63.07974371648614,5,5,тов. Бурова Лукия Вячеславовна
243,66,2.0,72.7363793274722,15,3,Егор Арсенович Меркушев
244,23,1.0,43.79043241399027,10,2,Лаврентьева Валентина Филипповна
245,9,1.0,43.79787028433555,15,4,Симонова Милица Геннадьевна
246,23,1.0,41.07441664609757,9,2,Нонна Борисовна Большакова
247,29,3.0,65.09845796799003,11,0,Дьячкова Юлия Васильевна
248,37,1.0,36.87591013378437,14,3,Киселев Филарет Эдгардович
249,84,1.0,33.22250524274529,6,1,Лапина Наина Афанасьевна
250,74,2.0,80.82585267134866,6,2,Эмилия Александровна Крылова
251,20,2.0,41.20842185979395,12,5,Крюков Галактион Вячеславович
252,27,2.0,58.55380927130469,7,0,Савина Прасковья Натановна
253,8,1.0,43.88463985760105,5,5,Копылова Ангелина Валентиновна
254,109,2.0,53.07840402332316,3,6,Исай Бориславович Попов
255,27,1.0,43.32504270958004,5,0,Савин Феоктист Всеволодович
256,1,3.0,81.14356023870373,12,1,Михайлова Лариса Яковлевна
257,23,1.0,29.40100775136217,4,0,Зинаида Рубеновна Михайлова
258,96,1.0,36.67340725700864,3,4,Лукия Вадимовна Евдокимова
259,88,3.0,60.38897244708644,11,9,Суворова Лукия Андреевна
260,170,3.0,77.26797275995855,17,7,Гусев Корнил Аксёнович
261,7,2.0,43.94828799946549,6,9,Фадеев Влас Федосьевич
262,181,2.0,62.19833539557827,7,5,Фролов Евстигней Харитонович
263,40,3.0,80.93212416498206,10,0,Исидор Августович Бирюков
264,54,3.0,58.70383374256591,3,6,Трофим Феоктистович Селиверстов
265,83,2.0,53.14307185514218,3,6,Самойлова Зоя Болеславовна
266,93,1.0,41.515880999394895,4,0,Савелий Матвеевич Дорофеев
267,34,1.0,44.21745561119906,16,11,Мясников Афанасий Харлампович
268,27,2.0,60.722436100076834,5,0,Зинаида Харитоновна Мамонтова
269,119,2.0,47.74151036614864,5,5,Емельянова Елизавета Михайловна
270,17,1.0,46.69297388488837,7,2,Куприян Александрович Соловьев
271,30,2.0,51.28302006235799,5,23,Наина Максимовна Турова
272,127,1.0,36.52800943176572,12,6,Беспалов Фрол Феодосьевич
273,109,1.0,31.12356650903711,8,6,Игнатий Арсенович Исаев
274,3,3.0,96.96659699367903,10,3,Евграф Феофанович Елисеев
275,129,2.0,43.18195669005615,5,5,Евпраксия Егоровна Ильина
276,91,2.0,41.96202156738234,5,0,Корнилов Корнил Герасимович
277,39,1.0,32.04987464899744,3,2,Людмила Станиславовна Боброва
278,13,2.0,55.23295691660773,11,15,Евдоким Валерьянович Цветков
279,1,2.0,79.52122105330591,5,1,Венедикт Алексеевич Ширяев
280,11,2.0,62.92795167119776,4,4,Баранов Никифор Геннадиевич
281,8,1.0,42.0126943974842,5,5,Пахомова Милица Тимуровна
282,49,3.0,84.72415684760853,11,5,Субботина Лидия Ждановна
283,66,3.0,59.773209969140765,5,3,Виктор Антонович Павлов
284,23,1.0,45.596726655228814,17,2,Антонина Георгиевна Игнатова
285,27,3.0,77.3297736265153,18,0,Марина Оскаровна Бобылева
286,30,4.0,94.16493420565914,8,23,Калашников Евграф Демьянович
287,1,2.0,67.7561253067878,15,1,Вера Федоровна Кузнецова
288,85,1.0,50.66927137958568,16,0,София Ждановна Носова
289,30,3.0,76.265622419112,4,23,Татьяна Павловна Селиверстова
290,81,3.0,71.04599151212591,3,8,Ипатий Антипович Гришин
291,1,3.0,87.70107821232482,5,1,Симон Бориславович Ковалев
292,1,2.0,67.23376032341747,16,1,Федотов Исай Фокич
293,181,2.0,49.97886684016454,9,8,Анисим Феоктистович Гущин
294,1,1.0,41.848344469811714,16,1,Колесников Демьян Бенедиктович
295,6,3.0,80.79479590513914,13,0,Оксана Ивановна Богданова
296,27,2.0,57.13418145660063,16,1,Галина Владиславовна Блохина
297,19,1.0,34.64762900882553,1,6,Ульяна Константиновна Попова
298,69,3.0,75.80554702612405,14,9,Спиридон Еремеевич Марков
299,80,2.0,54.87690984764203,22,4,Кошелева Нонна Константиновна
300,1,2.0,64.69999397105495,4,1,Виктория Сергеевна Силина
301,62,3.0,90.82461359617146,4,0,Горбачева Олимпиада Романовна
302,27,1.0,55.06922187698419,13,1,Акулина Константиновна Денисова
303,47,2.0,53.610583241888094,14,3,Анатолий Феоктистович Шаров
304,1,1.0,40.427365357783614,2,1,тов. Куликов Евстафий Евсеевич
305,108,3.0,80.29481264687588,5,4,Кондратий Демидович Соловьев
306,62,2.0,46.09979169369629,10,5,Сафонов Сильвестр Гордеевич
307,90,3.0,73.83735254295934,18,2,Фрол Чеславович Давыдов
308,61,3.0,65.19029396912669,6,9,Соболев Тимур Валерьевич
309,27,1.0,47.71754259998846,13,0,Ермолай Вячеславович Гурьев
310,107,2.0,44.614222169043714,8,3,Александра Львовна Сорокина
311,49,2.0,39.00373681538303,10,5,Зыков Иларион Захарьевич
312,84,2.0,38.01222519259248,3,6,Голубев Селиван Евстигнеевич
313,130,3.0,78.9525610231212,5,11,Белозерова Любовь Васильевна
314,9,3.0,73.83346311676652,7,4,Самуил Венедиктович Соболев
315,27,1.0,37.37082978898388,25,0,Оксана Аркадьевна Петухова
316,61,1.0,34.42995633360837,9,9,Пахомова Олимпиада Вениаминовна
317,48,3.0,76.43284706046757,12,10,Эмилия Никифоровна Ильина
318,23,3.0,77.02406672294111,9,2,Эраст Зиновьевич Савин
319,90,3.0,74.85696775915558,13,2,Алла Сергеевна Дьячкова
320,6,2.0,62.64877876492208,6,0,Карпов Гремислав Викторович
321,100,3.0,58.745879155832014,4,0,Мартын Теймуразович Щербаков
322,57,2.0,52.72852657796054,9,4,Доронин Владилен Владленович
323,30,2.0,62.18028327405845,8,23,Ипат Эдгарович Ковалев
324,37,2.0,43.60115514957445,12,3,Блохин Павел Еремеевич
325,12,3.0,81.73426948057048,8,15,Константинова Акулина Даниловна
326,2,1.0,40.48827275515687,2,5,Дементьева Валерия Андреевна
327,6,2.0,56.18367280324071,8,0,Ульяна Андреевна Корнилова
328,45,2.0,57.78867766691691,4,2,Спартак Яковлевич Андреев
329,91,2.0,43.442674130385896,4,0,Петрова Акулина Руслановна
330,62,1.0,40.16019400540793,10,5,Крылов Мстислав Эдуардович
331,167,1.0,36.653330797652245,6,3,Смирнова Зинаида Эльдаровна
332,93,1.0,41.46592987164521,2,3,Ангелина Павловна Никонова
333,27,2.0,68.4538142652492,15,0,Евлампий Еремеевич Кондратьев
334,27,1.0,47.42634930765681,9,0,Ювеналий Афанасьевич Суханов
335,27,2.0,58.81160095832591,4,0,Шарапов Харитон Дмитриевич
336,2,3.0,99.59701141241251,11,3,Давыдова Лукия Олеговна
337,125,3.0,66.28858429156463,2,1,Карп Фролович Калинин
338,23,1.0,41.57127332130285,21,2,Денисова Виктория Кузьминична
339,8,1.0,50.39086246147125,32,2,Бирюкова Евпраксия Даниловна
340,67,2.0,55.492555042943394,8,4,Наркис Ермилович Жданов
341,6,1.0,40.32612835176775,16,0,Вишнякова Фаина Михайловна
342,6,1.0,74.60960941479853,16,0,Бирюкова Галина Александровна
343,113,3.0,125.28718341089989,26,1,Светозар Феоктистович Зайцев
344,57,2.0,57.39376831066333,7,4,Шарапова Агафья Валериевна
345,62,3.0,87.12725548755304,6,0,Гурьев Ким Ааронович
346,177,2.0,63.99237880478071,3,2,Макарова Антонина Владимировна
347,46,2.0,60.25721241561864,18,1,Федосеева София Феликсовна
348,26,2.0,49.53043704809576,5,2,Анисимов Марк Андреевич
349,28,2.0,47.918191961955245,5,0,Кузнецов Потап Чеславович
350,1,1.0,50.41272943262186,10,1,Архипова Агата Сергеевна
351,46,2.0,39.13148085513296,7,1,Селиверстова Любовь Кирилловна
352,99,2.0,57.35282548578214,8,8,Панкрат Валерьевич Авдеев
353,6,1.0,49.20489550518749,21,0,Максимова Феврония Ниловна
354,28,2.0,38.47935844837161,6,0,Ольга Наумовна Афанасьева
355,6,1.0,40.34176329753256,16,0,Спартак Данилович Пестов
356,74,1.0,49.44200889673061,15,2,Горшкова Наталья Макаровна
357,89,3.0,73.48268115944994,8,1,Парфен Якубович Воронов
358,62,3.0,121.84400421338717,3,0,Агафья Захаровна Корнилова
359,31,2.0,82.4354954758089,23,1,Варфоломей Фокич Данилов
360,1,1.0,40.07927553260436,17,1,Яковлева Нинель Степановна
361,6,1.0,39.40042393707752,17,0,Зиновий Евсеевич Шаров
362,9,2.0,54.56583491493504,2,0,Никитина Евдокия Геннадиевна
363,9,1.0,44.17179277100629,11,4,Глафира Тимуровна Горшкова
364,8,2.0,45.26316838396066,9,5,Жуков Карл Бенедиктович
365,23,2.0,58.91113711241554,5,2,Белоусов Радован Зиновьевич
366,98,2.0,44.16218168991611,5,11,Евдокия Рубеновна Федосеева
367,88,1.0,39.54627117277554,16,9,Сорокина Любовь Харитоновна
368,78,3.0,79.3589211078325,5,2,Елисей Филатович Ефимов
369,1,1.0,54.30772660749664,4,1,Карпова Лора Михайловна
370,6,3.0,82.13695295970624,3,0,Елена Михайловна Кудрявцева
371,94,2.0,41.3920023180313,13,6,Евгения Юльевна Орлова
372,25,3.0,88.40676229357331,21,11,Рыбакова Елизавета Дмитриевна
373,27,2.0,62.228908439874296,8,0,Авдеев Демьян Власович
374,67,1.0,42.609611322071736,12,6,Ксения Яковлевна Громова
375,1,3.0,84.64727578985074,13,1,Шубин Зиновий Васильевич
376,1,3.0,79.00021146596234,13,1,Авдеев Олег Валерьянович
377,57,10.0,59.05697501990758,22,15,Изот Ааронович Лукин
378,1,1.0,37.88518789178515,12,1,Макаров Евграф Феликсович
379,52,1.0,37.49633570051756,7,5,Комиссарова Иванна Максимовна
380,100,2.0,57.21532144866124,10,0,Зыкова Виктория Сергеевна
381,23,1.0,29.56710141732345,6,0,Кира Алексеевна Мишина
382,24,3.0,78.69582652030464,9,3,Мария Артемовна Логинова
383,111,3.0,72.38864165742602,3,4,Панкратий Матвеевич Логинов
384,86,1.0,32.84651530067701,5,7,Лапин Аполлинарий Захарьевич
385,69,4.0,98.3854462844821,14,9,Григорьева Анастасия Сергеевна
386,7,3.0,115.25474136772252,16,3,Ермакова Анна Даниловна
387,53,2.0,61.09222490184691,18,3,Никифорова Тамара Игоревна
388,23,3.0,79.15715698019086,20,2,Демьян Юльевич Лихачев
389,9,3.0,66.95095055452481,14,1,Ефремова София Богдановна
390,62,2.0,72.68384669082198,14,0,Демид Владиславович Устинов
391,25,2.0,52.93882516973662,7,1,Родион Даниилович Федоров
392,1,2.0,64.06785407203407,12,1,Ираклий Устинович Кононов
393,23,1.0,39.103765262257,6,0,Зинаида Эльдаровна Казакова
394,61,2.0,51.330492938505685,13,9,Белоусов Казимир Иосипович
395,6,1.0,50.34787925259519,10,0,Фёкла Эльдаровна Романова
396,13,1.0,32.17438856019914,10,15,Блинов Вадим Ааронович
